Paper_code,Compound_name,CAS,Quantity,Plant_parts,Techniques,Formula,Classification,Activity,Plant_type,Exp_condition,IUPAC
JELcain2012Lea,cis - sabinene hydrate,NA,0.85,Leaf,GC and GC/MS,NA,NA,NA,Weed,Normal,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2012Lea,cis - sabinene hydrate,NA,0.85,Leaf,GC and GC/MS,NA,NA,NA,Weed,Normal,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2012Fru,alpha-pinene,80-56-8,0.33,Fruit,GC and GC/MS,C10H16,monoterpene,"herbicide, cancer preventive, Allelochemic, Allergenic, Antiacne, Antibacterial, Antifeedant, Antiflu, Antiinflammatory, Antipneumonic, Antiseptic, Antispasmodic, Antistaphylococcic, Antiviral, Cancer-Preventive, Coleoptophile, Expectorant, FLavor Herbicide, Insecticide, Insectifuge, Insectiphile, Irritant, P450-2B1-Inhibitor, Perfumery, Pesticide, Sedative, Spasmogenic Tranquilizer, Transdermal",Weed,Normal,"4,6,6-trimethylbicyclo[3.1.1]hept-3-ene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcaeg2012Lea,caryophylla-3,NA,2.97,Leaves,GC and GC/MS,NA,NA,NA,Weed,Normal,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2012Lea,limonene oxide,NA,0.17,Leaves,GC and GC/MS,C10H16O,monoterpene oxide,NA,Weed,shade-dried,"6-methyl-3-prop-1-en-2-yl-7-oxabicyclo[4.1.0]heptane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2012Lea,limonene oxide,NA,0.17,Leaves,GC and GC/MS,C10H16O,monoterpene oxide,NA,Weed,shade-dried,"6-methyl-3-prop-1-en-2-yl-7-oxabicyclo[4.1.0]heptane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcani2013Lea,alpha-pinene epoxide,1686-14-2,9.07,Leaves,GC and GC/MS,NA,NA,NA,Weed,Air-dried under shade,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2012Lea,aromadendrene,72747-25-2,6.257,Leaves,GC-MS-MS,C15H24,sesquiterpene,"Cancer preventive, antiseptic",Weed,normal,"1,1,7-trimethyl-4-methylidene-2,3,4a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[e]azulene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2012Lea,aromadendrene,72747-25-2,6.257,Leaves,GC-MS-MS,C15H24,sesquiterpene,"Cancer preventive, antiseptic",Weed,normal,"1,1,7-trimethyl-4-methylidene-2,3,4a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[e]azulene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2010Lea,spathulenol,6750-60-3,1.06,Leaves,GC/MS,C15H24O,azulenic sesquiterpenol,Antimicrobial,Weed,different collect times(4:00 pm),"(1aR,4aR,7S,7aR,7bR)-1,1,7-trimethyl-4-methylidene-1a,2,3,4a,5,6,7a,7b-octahydrocyclopropa[h]azulen-7-ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2010Lea,alloaromadendrene,NA,1.15,Leaves,GC/MS,NA,sesquiterpene,NA,Weed,different collect times(4:00 pm),"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,gamma-terpinene,99-85-4,3.43,Leaves,GC-FID and GC-MS,C10H16,monoterpene,ACE-Inhibitor Acaricide Aldose-Reductase-Inhibitor - Antiacetylcholinesterase É?? Antifeedant Antioxidant Insectifuge Irritant Perfumery Pesticide,Weed,seosnal variability (September/2008),"1-methyl-4-propan-2-ylcyclohexa-1,4-diene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
