Paper_code,Plant_name,Geolocation,Plant_family,Plant_type
JELcain2003Who,Lantana camara,India,Verbenaceae,Weed
JELcama1997Aer,Lantana camara,Madagascar,Verbenaceae,Weed
JELcaswgt2002flo,Lantana camara,Sweden (Goteborg),Verbenaceae,Plant
JELcain2005lea,Lantana camara,India,Verbenaceae,Weed
JELcain2002flo,Lantana camara,India,Verbenaceae,Weed
JELcair2002Aer,Lantana camara,Iran,Verbenaceae,Plant
JELcanoin2003Fru,Lantana camara,Northern India,Verbenaceae,Weed
JELcanoin2003Ste,Lantana camara,Northern India,Verbenaceae,Weed
JELcani2003Lea,Lantana camara,Nigeria,Verbenaceae,Weed
JELcasoch2004Aer,Lantana camara,South China,Verbenaceae,Weed
JELcabr2008lea,Lantana camara,Brazil,Verbenaceae,Plant
JELcainlu2000Lea,Lantana camara,"Lucknow, India",Verbenaceae,Weed
JELcainpa2000Lea,Lantana camara,India (Palampur),Verbenaceae,Weed
JELcaal2012Aer,Lantana camara,Algeria,Verbenaceae,Weed
JELcaal2012Aer,Lantana camara,Algeria,Verbenaceae,Weed
JELcaal2011Aer,Lantana camara,Algeria,Verbenaceae,Weed
JELcabr2010Lea,Lantana camara,Brazil,Verbenaceae,Weed
JELcabr1999Aer,Lantana camara,Brazil,Verbenaceae,Weed
JELcabr1999Lea,Lantana camara,Brazil,Verbenaceae,Weed
JELcabr2008Lea,Lantana camara,Brazil,Verbenaceae,Weed
JELcabr2012Lea,Lantana camara,Brazil,Verbenaceae,Weed
JELcabr2012Lea,Lantana camara,Brazil,Verbenaceae,Weed
JELcabr2012Lea,Lantana camara,Brazil,Verbenaceae,Weed
JELcabr2012Aer,Lantana camara,Brazil,Verbenaceae,Weed
JELcabr2013Lea,Lantana camara,Brazil,Verbenaceae,Weed
JELcabr2010Lea,Lantana camara,Brazil,Verbenaceae,Weed
JELcabr2010Lea,Lantana camara,Brazil,Verbenaceae,Weed
JELcabr2012Lea,Lantana camara,Brazil.,Verbenaceae,Weed
JELcaca1999Flo,Lantana camara,Cameroon,Verbenaceae,Weed
JELcacu2004Lea,Lantana camara,Cuba,Verbenaceae,Weed
JELcaeg2012Lea,Lantana camara,Egypt,Verbenaceae,Weed
JELcaeg2014Lea,Lantana camara,Egypt,Verbenaceae,Weed
JELcaet2013Aer,Lantana camara,Ethiopia,Verbenaceae,Weed
JELcain2012Lea,Lantana camara,India,Verbenaceae,Weed
JELcain2011Lea,Lantana camara,India,Verbenaceae,Weed
JELcain2012Lea,Lantana camara,India,Verbenaceae,Weed
JELcain2002Lea,Lantana camara,India,Verbenaceae,Weed
JELcain2011Lea,Lantana camara,India,Verbenaceae,Weed
JELcain2011Lea,Lantana camara,India,Verbenaceae,Weed
JELcain2012Fru,Lantana camara,India,Verbenaceae,Weed
JELcain2010Lea,Lantana camara,India,Verbenaceae,Weed
JELcain2000Lea,Lantana camara,India,Verbenaceae,Weed
JELcair2012Lea,Lantana camara,Iran,Verbenaceae,Weed
JELcama2005Aer,Lantana camara,Madagascar,Verbenaceae,Weed
JELcama1999Flo,Lantana camara,Madagascar,Verbenaceae,Weed
JELcani2004Lea,Lantana camara,Nigeria,Verbenaceae,Weed
JELcani2012Fru,Lantana camara,Nigeria,Verbenaceae,Weed
JELcani2008Lea,Lantana camara,Nigeria,Verbenaceae,Weed
JELcani2013Lea,Lantana camara,Nigeria,Verbenaceae,Weed
JELcape2009Lea,Lantana camara,Peru,Verbenaceae,Weed
JELcasobe2014Lea,Lantana camara,South Benin,Verbenaceae,Weed
JELcave2011Lea,Lantana camara,Venezuela,Verbenaceae,Weed
